#Firmware: console20241002 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,0,58941.142,58941.142,0,0
0,0,0,0,58941.324,0.182,0,0
1,0,0,0,59042.827,101.503,0,0
0,0,0,0,59069.802,26.975,0,0
1,0,0,0,94232.754,35162.952,0,0
0,0,0,0,94232.935,0.181,0,0
1,0,0,0,94343.601,110.666,0,0
0,0,0,0,94349.944,6.343,0,0
1,0,0,0,104472.744,10122.8,0,0
1,1,0,0,104472.893,0.149,0,0
1,0,0,0,104472.893,0.0,0,0
1,1,0,0,104473.391,0.498,0,0
1,0,0,0,104473.391,0.0,0,0
0,0,0,0,446237.747,341764.356,0,0
1,0,0,0,446249.322,11.575,0,0
0,0,0,0,446255.079,5.757,0,0
1,0,0,0,446263.189,8.11,0,0
0,0,0,0,446268.849,5.66,0,0
1,0,0,0,446275.394,6.545,0,0
0,0,0,0,446280.717,5.323,0,0
1,0,0,0,446286.567,5.85,0,0
0,0,0,0,446291.642,5.075,0,0
1,0,0,0,446297.08,5.438,0,0
0,0,0,0,446301.926,4.846,0,0
1,0,0,0,446307.066,5.14,0,0
0,0,0,0,446311.792,4.726,0,0
1,0,0,0,446316.754,4.962,0,0
0,0,0,0,446321.352,4.598,0,0
1,0,0,0,446326.127,4.775,0,0
0,0,0,0,446330.634,4.507,0,0
1,0,0,0,446335.31,4.676,0,0
0,0,0,0,446339.689,4.379,0,0
1,0,0,0,446344.245,4.556,0,0
0,0,0,0,446348.514,4.269,0,0
1,0,0,0,446352.934,4.42,0,0
0,0,0,0,446357.04,4.106,0,0
1,0,0,0,446361.312,4.272,0,0
0,0,0,0,446365.304,3.992,0,0
1,0,0,0,446369.433,4.129,0,0
0,0,0,0,446373.277,3.844,0,0
1,0,0,0,446377.28,4.003,0,0
0,0,0,0,446381.045,3.765,0,0
1,0,0,0,446384.935,3.89,0,0
0,0,0,0,446388.576,3.641,0,0
1,0,0,0,446392.375,3.799,0,0
0,0,0,0,446395.952,3.577,0,0
1,0,0,0,446399.672,3.72,0,0
0,0,0,0,446403.181,3.509,0,0
1,0,0,0,446406.85,3.669,0,0
0,0,0,0,446410.323,3.473,0,0
1,0,0,0,446413.979,3.656,0,0
0,0,0,0,446417.441,3.462,0,0
1,0,0,0,446421.062,3.621,0,0
0,0,0,0,446424.524,3.462,0,0
1,0,0,0,446428.168,3.644,0,0
0,0,0,0,446431.616,3.448,0,0
1,0,0,0,446435.257,3.641,0,0
0,0,0,0,446438.77,3.513,0,0
1,0,0,0,446442.461,3.691,0,0
0,0,0,0,446445.992,3.531,0,0
1,0,0,0,446449.758,3.766,0,0
0,0,0,0,446453.363,3.605,0,0
1,0,0,0,446457.192,3.829,0,0
0,0,0,0,446460.878,3.686,0,0
1,0,0,0,446464.795,3.917,0,0
0,0,0,0,446468.596,3.801,0,0
1,0,0,0,446472.618,4.022,0,0
0,0,0,0,446476.527,3.909,0,0
1,0,0,0,446480.686,4.159,0,0
0,0,0,0,446484.704,4.018,0,0
1,0,0,0,446488.941,4.237,0,0
0,0,0,0,446493.039,4.098,0,0
1,0,0,0,446497.287,4.248,0,0
0,0,0,0,446501.335,4.048,0,0
1,0,0,0,446505.524,4.189,0,0
0,0,0,0,446509.493,3.969,0,0
1,0,0,0,446513.528,4.035,0,0
0,0,0,0,446517.303,3.775,0,0
1,0,0,0,446521.138,3.835,0,0
0,0,0,0,446524.67,3.532,0,0
1,0,0,0,446528.205,3.535,0,0
0,0,0,0,446531.452,3.247,0,0
1,0,0,0,446534.748,3.296,0,0
0,0,0,0,446537.805,3.057,0,0
1,0,0,0,446540.918,3.113,0,0
0,0,0,0,446543.814,2.896,0,0
1,0,0,0,446546.814,3.0,0,0
0,0,0,0,446549.61,2.796,0,0
1,0,0,0,446552.523,2.913,0,0
0,0,0,0,446555.285,2.762,0,0
1,0,0,0,446558.193,2.908,0,0
0,0,0,0,446560.977,2.784,0,0
1,0,0,0,446563.948,2.971,0,0
0,0,0,0,446566.789,2.841,0,0
1,0,0,0,446569.867,3.078,0,0
0,0,0,0,446572.847,2.98,0,0
1,0,0,0,446576.12,3.273,0,0
0,0,0,0,446579.351,3.231,0,0
1,0,0,0,446582.938,3.587,0,0
0,0,0,0,446586.36,3.422,0,0
1,0,0,0,446589.511,3.151,0,0
0,0,0,0,446592.292,2.781,0,0
1,0,0,0,446595.471,3.179,0,0
0,0,0,0,446598.638,3.167,0,0
1,0,0,0,446601.936,3.298,0,0
0,0,0,0,446604.981,3.045,0,0
1,0,0,0,446608.305,3.324,0,0
0,0,0,0,446611.527,3.222,0,0
1,0,0,0,446614.977,3.45,0,0
0,0,0,0,446618.238,3.261,0,0
1,0,0,0,446621.712,3.474,0,0
0,0,0,0,446625.001,3.289,0,0
1,0,0,0,446628.493,3.492,0,0
0,0,0,0,446631.756,3.263,0,0
1,0,0,0,446635.231,3.475,0,0
0,0,0,0,446638.461,3.23,0,0
1,0,0,0,446641.837,3.376,0,0
0,0,0,0,446644.971,3.134,0,0
1,0,0,0,446648.182,3.211,0,0
0,0,0,0,446651.119,2.937,0,0
1,0,0,0,446654.144,3.025,0,0
0,0,0,0,446658.862,4.718,0,0
1,0,0,0,446670.121,11.259,0,0
0,0,0,1,446672.605,2.484,0,0
1,0,0,1,446675.126,2.521,0,0
0,0,0,1,446677.564,2.438,0,0
1,0,0,1,446680.072,2.508,0,0
0,0,0,1,446682.516,2.444,0,0
1,0,0,1,446685.071,2.555,0,0
0,0,0,1,446687.534,2.463,0,0
1,0,0,1,446690.146,2.612,0,0
0,0,0,1,446692.683,2.537,0,0
1,0,0,1,446695.417,2.734,0,0
0,0,0,1,446698.081,2.664,0,0
1,0,0,1,446700.996,2.915,0,0
0,0,0,1,446703.888,2.892,0,0
1,0,0,1,446707.126,3.238,0,0
0,0,0,1,446710.291,3.165,0,0
1,0,0,1,446713.596,3.305,0,0
0,0,0,1,446716.24,2.644,0,0
1,0,0,1,446718.973,2.733,0,0
0,0,0,1,446721.824,2.851,0,0
1,0,0,1,446724.984,3.16,0,0
0,0,0,1,446727.888,2.904,0,0
1,0,0,1,446730.877,2.989,0,0
0,0,0,1,446733.771,2.894,0,0
1,0,0,1,446736.903,3.132,0,0
0,0,0,1,446739.875,2.972,0,0
1,0,0,1,446742.994,3.119,0,0
0,0,0,1,446745.945,2.951,0,0
1,0,0,1,446749.072,3.127,0,0
0,0,0,1,446752.009,2.937,0,0
1,0,0,1,446755.089,3.08,0,0
0,0,0,1,446757.945,2.856,0,0
1,0,0,1,446760.884,2.939,0,0
0,0,0,1,446763.567,2.683,0,0
1,0,0,1,446766.327,2.76,0,0
0,0,0,1,446768.848,2.521,0,0
1,0,0,1,446771.463,2.615,0,0
0,0,0,1,446773.9,2.437,0,0
1,0,0,1,446776.468,2.568,0,0
0,0,0,1,446778.872,2.404,0,0
1,0,0,1,446781.411,2.539,0,0
0,0,0,1,446783.8,2.389,0,0
1,0,0,1,446786.316,2.516,0,0
0,0,0,1,446788.676,2.36,0,0
1,0,0,1,446791.186,2.51,0,0
0,0,0,1,446793.564,2.378,0,0
1,0,0,1,446796.116,2.552,0,0
0,0,0,1,446798.574,2.458,0,0
1,0,0,1,446801.216,2.642,0,0
0,0,0,1,446803.759,2.543,0,0
1,0,0,1,446806.537,2.778,0,0
0,0,0,1,446809.236,2.699,0,0
1,0,0,1,446812.21,2.974,0,0
0,0,0,1,446815.15,2.94,0,0
1,0,0,1,446818.319,3.169,0,0
0,0,0,1,446821.177,2.858,0,0
1,0,0,1,446823.84,2.663,0,0
0,0,0,1,446826.388,2.548,0,0
1,0,0,1,446829.298,2.91,0,0
0,0,0,1,446832.137,2.839,0,1
1,0,0,1,446835.043,2.906,0,1
0,0,0,1,446837.76,2.717,0,1
1,0,0,1,446840.716,2.956,1,1
0,0,0,1,446843.576,2.86,0,1
1,0,0,1,446846.614,3.038,0,1
0,0,0,1,446849.468,2.854,0,1
1,0,0,1,446852.506,3.038,0,1
0,0,0,1,446855.421,2.915,0,1
1,0,0,1,446858.481,3.06,0,1
0,0,0,1,446861.298,2.817,0,1
1,0,0,1,446864.031,2.733,0,1
0,0,0,1,446866.33,2.299,0,1
1,0,0,1,446868.422,2.092,0,0
0,0,0,1,446870.202,1.78,0,0
1,0,0,1,446871.896,1.694,0,0
0,0,0,1,446873.403,1.507,0,0
1,0,0,1,446874.894,1.491,0,0
0,0,0,1,446876.243,1.349,0,0
1,0,0,1,446877.617,1.374,0,0
0,0,0,1,446878.877,1.26,0,0
1,0,0,1,446880.177,1.3,0,0
1,1,0,1,446880.368,0.191,0,0
1,0,0,1,446880.368,0.0,0,0
0,0,0,1,446881.387,1.019,0,0
1,0,0,1,446882.644,1.257,0,0
0,0,0,1,446883.833,1.189,0,0
1,0,0,1,446885.086,1.253,0,0
0,0,0,1,446886.27,1.184,0,0
1,0,0,1,446887.528,1.258,0,0
0,0,0,1,446888.709,1.181,0,0
1,0,0,1,446889.965,1.256,0,0
0,0,0,1,446891.135,1.17,0,0
1,0,0,1,446892.383,1.248,0,0
0,0,0,1,446893.557,1.174,0,0
1,0,0,1,446894.798,1.241,0,0
0,0,0,1,446895.971,1.173,0,0
1,0,0,1,446897.223,1.252,0,0
0,0,0,1,446898.401,1.178,0,0
1,0,0,1,446899.664,1.263,0,0
0,0,0,1,446900.848,1.184,0,0
1,0,0,1,446902.131,1.283,0,0
0,0,0,1,446903.328,1.197,0,1
1,0,0,1,446904.63,1.302,0,1
0,0,0,1,446905.85,1.22,0,1
1,0,0,1,446907.172,1.322,1,1
0,0,0,1,446908.418,1.246,1,1
1,0,0,1,446909.757,1.339,0,1
0,0,0,1,446911.016,1.259,0,1
1,0,0,1,446912.374,1.358,0,1
0,0,0,1,446913.638,1.264,0,1
1,0,0,1,446914.992,1.354,0,1
0,0,0,1,446916.244,1.252,0,1
1,0,0,1,446917.558,1.314,0,1
0,0,0,1,446918.762,1.204,0,1
1,0,0,1,446920.008,1.246,0,1
0,0,0,1,446921.116,1.108,0,1
1,0,0,1,446922.243,1.127,0,1
0,0,0,1,446926.296,4.053,0,1
1,0,0,1,446927.66,1.364,0,1
0,0,0,1,446928.412,0.752,0,1
1,0,0,1,446929.198,0.786,0,1
0,0,0,1,446929.916,0.718,0,1
1,0,0,1,446930.677,0.761,0,1
0,0,0,1,446931.388,0.711,0,1
1,0,0,1,446932.142,0.754,0,1
0,0,0,1,446932.843,0.701,0,1
1,0,0,1,446933.6,0.757,0,1
0,0,0,1,446934.306,0.706,0,1
1,0,0,1,446935.067,0.761,0,1
0,0,0,1,446935.788,0.721,0,1
1,0,0,1,446936.562,0.774,0,1
0,0,0,1,446937.297,0.735,0,1
1,0,0,1,446938.096,0.799,0,0
0,0,0,1,446938.852,0.756,0,0
1,0,0,1,446939.671,0.819,0,0
0,0,0,1,446940.45,0.779,0,0
1,0,0,1,446941.291,0.841,0,0
0,0,0,1,446942.094,0.803,0,1
1,0,0,1,446942.959,0.865,0,1
0,0,0,1,446943.783,0.824,0,1
1,0,0,1,446944.675,0.892,1,1
0,0,0,1,446945.516,0.841,0,1
1,0,0,1,446946.422,0.906,0,1
0,0,0,1,446947.276,0.854,0,1
1,0,0,1,446948.198,0.922,0,1
0,0,0,1,446949.055,0.857,0,1
1,0,0,1,446949.98,0.925,0,1
0,0,0,1,446950.832,0.852,0,1
1,0,0,1,446951.745,0.913,0,1
0,0,0,1,446952.586,0.841,0,1
1,0,0,1,446953.472,0.886,0,1
0,0,0,1,446954.283,0.811,0,1
1,0,0,1,446955.133,0.85,0,1
0,0,0,1,446955.903,0.77,0,1
1,0,0,1,446956.701,0.798,0,1
0,0,0,1,446957.42,0.719,0,1
1,0,0,1,446958.168,0.748,0,1
0,0,0,1,446958.843,0.675,0,1
1,0,0,1,446959.543,0.7,0,1
0,0,0,1,446960.187,0.644,0,1
1,0,0,1,446960.852,0.665,0,1
0,0,0,1,446961.469,0.617,0,1
1,0,0,1,446962.119,0.65,0,1
0,0,0,1,446962.724,0.605,0,1
1,0,0,1,446963.36,0.636,0,1
0,0,0,1,446963.958,0.598,0,1
1,0,0,1,446964.588,0.63,0,1
0,0,0,1,446965.181,0.593,0,1
1,0,0,1,446965.809,0.628,0,1
0,0,0,1,446966.403,0.594,0,1
1,0,0,1,446967.034,0.631,0,0
0,0,0,1,446967.634,0.6,0,0
1,0,0,1,446968.271,0.637,0,0
0,0,0,1,446968.872,0.601,0,0
1,0,0,1,446969.519,0.647,0,0
0,0,0,1,446970.127,0.608,0,0
1,0,0,1,446970.78,0.653,0,0
0,0,0,1,446971.402,0.622,0,1
1,0,0,1,446972.065,0.663,0,1
0,0,0,1,446972.693,0.628,0,1
1,0,0,1,446973.366,0.673,1,1
0,0,0,1,446973.998,0.632,1,1
