#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 763
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,2.62757747394E8,2.62757747394E8,1,0
1,0,0,1,2.62757748196E8,0.802,1,0
0,0,0,1,2.62757748936E8,0.74,1,0
1,0,0,1,2.62757749735E8,0.799,1,0
0,0,0,1,2.62757750475E8,0.74,1,0
1,0,0,1,2.62757751272E8,0.797,1,0
0,0,0,1,2.62757754609E8,3.337,1,0
1,0,0,1,2.62757755858E8,1.249,1,0
0,0,0,1,2.62757756583E8,0.725,1,0
1,0,0,1,2.62757757372E8,0.789,1,0
0,0,0,1,2.62757758095E8,0.723,1,0
1,0,0,1,2.62757758877E8,0.782,1,0
0,0,0,1,2.62757759607E8,0.73,1,0
1,0,0,1,2.62757760387E8,0.78,1,0
0,0,0,1,2.62757761115E8,0.728,1,0
1,0,0,1,2.62757761901E8,0.786,1,0
0,0,0,1,2.62757762631E8,0.73,1,0
1,0,0,1,2.62757763414E8,0.783,1,0
0,0,0,1,2.62757764153E8,0.739,1,0
1,0,0,1,2.62757764944E8,0.791,1,0
0,0,0,1,2.62757765677E8,0.733,1,0
1,0,0,1,2.62757766473E8,0.796,1,0
0,0,0,1,2.62757767211E8,0.738,1,0
1,0,0,1,2.62757768013E8,0.802,1,0
0,0,0,1,2.62757768755E8,0.742,1,0
1,0,0,1,2.6275776956E8,0.805,1,0
0,0,0,1,2.62757770311E8,0.751,1,0
1,0,0,1,2.62757771121E8,0.81,1,0
0,0,0,1,2.62757771876E8,0.755,1,0
1,0,0,1,2.62757772691E8,0.815,1,0
0,0,0,1,2.62757773451E8,0.76,1,0
1,0,0,1,2.62757774272E8,0.821,0,0
0,0,0,1,2.62757775035E8,0.763,0,1
1,0,0,1,2.6275777586E8,0.825,0,1
0,0,0,1,2.62757776627E8,0.767,0,1
1,0,0,1,2.62757777453E8,0.826,0,0
0,0,0,1,2.62757778225E8,0.772,0,0
1,0,0,1,2.62757779055E8,0.83,0,0
0,0,0,1,2.6275777982E8,0.765,0,0
1,0,0,1,2.62757780644E8,0.824,0,0
0,0,0,1,2.62757781406E8,0.762,0,0
1,0,0,1,2.62757782223E8,0.817,0,0
0,0,0,1,2.62757782982E8,0.759,0,0
1,0,0,1,2.62757783784E8,0.802,0,0
0,0,0,1,2.62757784533E8,0.749,0,0
1,0,0,1,2.62757785332E8,0.799,0,0
0,0,0,1,2.62757786069E8,0.737,0,0
1,0,0,1,2.62757786857E8,0.788,0,0
0,0,0,1,2.62757787591E8,0.734,0,0
1,0,0,1,2.62757788377E8,0.786,0,0
0,0,0,1,2.62757789104E8,0.727,0,0
1,0,0,1,2.62757789884E8,0.78,0,0
0,0,0,1,2.62757790615E8,0.731,0,0
1,0,0,1,2.62757791404E8,0.789,0,0
0,0,0,1,2.62757792134E8,0.73,0,0
1,0,0,1,2.62757792924E8,0.79,0,0
0,0,0,1,2.62757793662E8,0.738,0,0
1,0,0,1,2.62757794455E8,0.793,0,0
0,0,0,1,2.62757795195E8,0.74,0,0
1,0,0,1,2.62757795993E8,0.798,0,0
0,0,0,1,2.62757796745E8,0.752,0,0
1,0,0,1,2.62757797552E8,0.807,0,0
0,0,0,1,2.62757798301E8,0.749,0,0
1,0,0,1,2.6275779911E8,0.809,0,0
0,0,0,1,2.6275779987E8,0.76,0,0
1,0,0,1,2.62757800684E8,0.814,0,0
0,0,0,1,2.62757801448E8,0.764,1,0
1,0,0,1,2.62757802271E8,0.823,1,0
0,0,0,1,2.62757803038E8,0.767,1,0
1,0,0,1,2.62757803871E8,0.833,1,0
0,0,0,1,2.62757804641E8,0.77,1,0
1,0,0,1,2.62757805476E8,0.835,0,0
0,0,0,1,2.62757806253E8,0.777,0,1
1,0,0,1,2.62757807087E8,0.834,0,1
0,0,0,1,2.6275780787E8,0.783,0,1
1,0,0,1,2.62757808711E8,0.841,0,0
0,0,0,1,2.62757809491E8,0.78,0,0
1,0,0,1,2.62757810326E8,0.835,0,0
0,0,0,1,2.62757811109E8,0.783,0,0
1,0,0,1,2.62757811946E8,0.837,0,0
0,0,0,1,2.62757812724E8,0.778,0,0
1,0,0,1,2.62757813556E8,0.832,0,0
0,0,0,1,2.62757814325E8,0.769,0,0
1,0,0,1,2.62757815157E8,0.832,0,0
0,0,0,1,2.62757815927E8,0.77,0,0
1,0,0,1,2.62757816754E8,0.827,0,0
0,0,0,1,2.62757817523E8,0.769,0,0
1,0,0,1,2.62757818347E8,0.824,0,0
0,0,0,1,2.62757819108E8,0.761,0,0
1,0,0,1,2.62757819923E8,0.815,0,0
0,0,0,1,2.62757820682E8,0.759,0,0
1,0,0,1,2.62757821493E8,0.811,0,0
0,0,0,1,2.62757822253E8,0.76,0,0
1,0,0,1,2.62757823073E8,0.82,0,0
0,0,0,1,2.62757823824E8,0.751,0,0
1,0,0,1,2.62757824642E8,0.818,0,0
0,0,0,1,2.62757825399E8,0.757,0,0
1,0,0,1,2.62757826226E8,0.827,0,0
0,0,0,1,2.62757826986E8,0.76,0,0
1,0,0,1,2.62757827809E8,0.823,0,0
0,0,0,1,2.62757828575E8,0.766,0,0
1,0,0,1,2.62757829407E8,0.832,0,0
0,0,0,1,2.6275783018E8,0.773,0,0
1,0,0,1,2.62757831017E8,0.837,0,0
0,0,0,1,2.62757831789E8,0.772,0,0
1,0,0,1,2.62757832633E8,0.844,0,0
0,0,0,1,2.6275783341E8,0.777,1,0
1,0,0,1,2.6275783426E8,0.85,1,0
0,0,0,1,2.6275783505E8,0.79,1,0
1,0,0,1,2.62757835908E8,0.858,1,0
0,0,0,1,2.62757836699E8,0.791,1,0
1,0,0,1,2.62757837558E8,0.859,0,0
0,0,0,1,2.62757838357E8,0.799,0,1
1,0,0,1,2.62757839223E8,0.866,0,1
0,0,0,1,2.62757840024E8,0.801,0,1
1,0,0,1,2.62757840895E8,0.871,0,0
0,0,0,1,2.62757841697E8,0.802,0,0
1,0,0,1,2.62757842564E8,0.867,0,0
0,0,0,1,2.62757843361E8,0.797,0,0
