#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 733
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,1.98302223988E8,1.98302223988E8,0,0
0,0,0,1,1.98302224687E8,0.699,1,0
1,0,0,1,1.9830222544E8,0.753,1,0
0,0,0,1,1.98302226139E8,0.699,1,0
1,0,0,1,1.98302226896E8,0.757,1,0
0,0,0,1,1.98302227601E8,0.705,1,0
1,0,0,1,1.98302228364E8,0.763,0,0
0,0,0,1,1.9830222907E8,0.706,0,1
1,0,0,1,1.98302229833E8,0.763,0,1
0,0,0,1,1.98302230543E8,0.71,0,1
1,0,0,1,1.98302231304E8,0.761,0,0
0,0,0,1,1.98302232018E8,0.714,0,0
1,0,0,1,1.98302232778E8,0.76,0,0
0,0,0,1,1.98302233493E8,0.715,0,0
1,0,0,1,1.98302234253E8,0.76,0,0
0,0,0,1,1.9830223496E8,0.707,0,0
1,0,0,1,1.98302235717E8,0.757,0,0
0,0,0,1,1.98302236415E8,0.698,0,0
1,0,0,1,1.98302237167E8,0.752,0,0
0,0,0,1,1.98302237861E8,0.694,0,0
1,0,0,1,1.98302238602E8,0.741,0,0
0,0,0,1,1.9830223929E8,0.688,0,0
1,0,0,1,1.98302240025E8,0.735,0,0
1,1,0,1,1.98302240057E8,0.032,0,0
1,0,0,1,1.98302240057E8,0.0,0,0
0,0,0,1,1.98302240706E8,0.649,0,0
1,0,0,1,1.98302241439E8,0.733,0,0
0,0,0,1,1.98302242118E8,0.679,0,0
1,0,0,1,1.98302242849E8,0.731,0,0
0,0,0,1,1.98302243531E8,0.682,0,0
1,0,0,1,1.98302244267E8,0.736,0,0
0,0,0,1,1.98302244949E8,0.682,0,0
1,0,0,1,1.98302245689E8,0.74,0,0
0,0,0,1,1.98302246368E8,0.679,0,0
1,0,0,1,1.98302247112E8,0.744,0,0
0,0,0,1,1.98302247801E8,0.689,0,0
1,0,0,1,1.98302248544E8,0.743,0,0
0,0,0,1,1.98302249238E8,0.694,0,0
1,0,0,1,1.98302249986E8,0.748,0,0
0,0,0,1,1.98302250683E8,0.697,0,0
1,0,0,1,1.98302251435E8,0.752,0,0
0,0,0,1,1.98302252136E8,0.701,0,0
1,0,0,1,1.98302252902E8,0.766,0,0
0,0,0,1,1.98302253599E8,0.697,1,0
1,0,0,1,1.98302254364E8,0.765,1,0
0,0,0,1,1.98302255073E8,0.709,1,0
1,0,0,1,1.98302255845E8,0.772,1,0
0,0,0,1,1.98302256554E8,0.709,1,0
1,0,0,1,1.9830225733E8,0.776,0,0
0,0,0,1,1.98302258043E8,0.713,0,1
0,0,1,1,1.98302258771E8,0.728,0,1
0,0,0,1,1.98302258774E8,0.003,0,1
1,0,0,1,1.98302258817E8,0.043,0,1
0,0,0,1,1.98302259532E8,0.715,0,1
1,0,0,1,1.98302260312E8,0.78,0,0
0,0,0,1,1.98302261024E8,0.712,0,0
1,0,0,1,1.98302261801E8,0.777,0,0
0,0,0,1,1.98302262516E8,0.715,0,0
1,0,0,1,1.98302263291E8,0.775,0,0
0,0,0,1,1.98302264E8,0.709,0,0
1,0,0,1,1.9830226477E8,0.77,0,0
0,0,0,1,1.98302267966E8,3.196,0,0
1,0,0,1,1.98302269193E8,1.227,0,0
0,0,0,1,1.9830226989E8,0.697,0,0
1,0,0,1,1.98302270647E8,0.757,0,0
0,0,0,1,1.98302271345E8,0.698,0,0
1,0,0,1,1.98302272099E8,0.754,0,0
0,0,0,1,1.98302272801E8,0.702,0,0
1,0,0,1,1.98302273553E8,0.752,0,0
0,0,0,1,1.98302274256E8,0.703,0,0
1,0,0,1,1.98302275016E8,0.76,0,0
0,0,0,1,1.98302275716E8,0.7,0,0
1,0,0,1,1.98302276474E8,0.758,0,0
0,0,0,1,1.98302277184E8,0.71,0,0
1,0,0,1,1.98302277945E8,0.761,0,0
0,0,0,1,1.98302278655E8,0.71,0,0
1,0,0,1,1.98302279419E8,0.764,0,0
0,0,0,1,1.98302280135E8,0.716,0,0
1,0,0,1,1.98302280904E8,0.769,0,0
0,0,0,1,1.9830228162E8,0.716,0,0
1,0,0,1,1.98302282396E8,0.776,0,0
0,0,0,1,1.98302283121E8,0.725,1,0
1,0,0,1,1.98302283899E8,0.778,1,0
0,0,0,1,1.98302284624E8,0.725,1,0
1,0,0,1,1.98302285411E8,0.787,1,0
0,0,0,1,1.98302286142E8,0.731,1,0
1,0,0,1,1.98302286931E8,0.789,0,0
0,0,0,1,1.98302287667E8,0.736,0,1
1,0,0,1,1.98302288458E8,0.791,0,1
0,0,0,1,1.98302289195E8,0.737,0,1
1,0,0,1,1.98302289988E8,0.793,0,0
0,0,0,1,1.98302290727E8,0.739,0,0
1,0,0,1,1.98302291523E8,0.796,0,0
0,0,0,1,1.98302292258E8,0.735,0,0
1,0,0,1,1.98302293053E8,0.795,0,0
0,0,0,1,1.98302293784E8,0.731,0,0
1,0,0,1,1.98302294568E8,0.784,0,0
0,0,0,1,1.98302295301E8,0.733,0,0
