#Firmware: console20241002 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,2964258.213,2964258.213,0,0
1,0,0,1,2964258.537,0.324,0,0
0,0,0,1,2964258.901,0.364,0,0
1,0,0,1,2964259.224,0.323,0,0
0,0,0,1,2964259.588,0.364,0,1
1,0,0,1,2964259.912,0.324,0,1
0,0,0,1,2964260.276,0.364,0,1
1,0,0,1,2964260.601,0.325,0,1
0,0,0,1,2964260.964,0.363,1,1
1,0,0,1,2964261.288,0.324,1,1
0,0,0,1,2964261.651,0.363,1,1
1,0,0,1,2964261.975,0.324,1,1
0,0,0,1,2964262.339,0.364,1,1
1,0,0,1,2964262.665,0.326,1,1
0,0,0,1,2964263.028,0.363,1,1
1,0,0,1,2964263.354,0.326,1,1
0,0,0,1,2964263.716,0.362,1,1
1,0,0,1,2964264.042,0.326,0,1
0,0,0,1,2964264.406,0.364,0,1
1,0,0,1,2964264.732,0.326,0,0
0,0,0,1,2964265.094,0.362,0,0
1,0,0,1,2964265.423,0.329,0,0
0,0,0,1,2964265.784,0.361,0,0
1,0,0,1,2964266.113,0.329,0,0
1,0,1,1,2964266.27,0.157,0,0
1,0,0,1,2964266.273,0.003,0,0
0,0,0,1,2964266.473,0.2,0,0
1,0,0,1,2964266.804,0.331,0,0
0,0,0,1,2964267.162,0.358,0,0
1,0,0,1,2964267.496,0.334,0,0
0,0,0,1,2964267.853,0.357,0,0
1,0,0,1,2964268.187,0.334,0,0
0,0,0,1,2964268.542,0.355,0,0
1,0,0,1,2964268.877,0.335,0,0
0,0,0,1,2964269.233,0.356,0,0
1,0,0,1,2964269.568,0.335,0,0
0,0,0,1,2964269.925,0.357,0,0
1,0,0,1,2964270.26,0.335,0,0
0,0,0,1,2964270.615,0.355,0,0
1,0,0,1,2964270.949,0.334,0,0
0,0,0,1,2964271.307,0.358,0,0
1,0,0,1,2964271.645,0.338,0,0
0,0,0,1,2964271.993,0.348,0,0
1,0,0,1,2964272.338,0.345,0,0
0,0,0,1,2964272.684,0.346,0,0
1,0,0,1,2964273.029,0.345,0,0
0,0,0,1,2964273.379,0.35,0,0
1,0,0,1,2964273.724,0.345,0,0
0,0,0,1,2964274.072,0.348,0,0
1,0,0,1,2964274.419,0.347,0,0
0,0,0,1,2964274.769,0.35,0,0
1,0,0,1,2964275.116,0.347,0,0
0,0,0,1,2964275.466,0.35,0,0
