#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 377
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,4672732.957,4672732.957,1,1
0,0,0,1,4672733.773,0.816,1,1
1,0,0,1,4672734.657,0.884,1,1
0,0,0,1,4672735.496,0.839,1,1
1,0,0,1,4672736.391,0.895,1,1
0,0,0,1,4672737.223,0.832,1,1
1,0,0,1,4672738.112,0.889,1,1
0,0,0,1,4672738.964,0.852,1,1
1,0,0,1,4672739.86,0.896,0,1
0,0,0,1,4672740.707,0.847,0,1
1,0,0,1,4672741.614,0.907,0,1
0,0,0,1,4672742.46,0.846,0,1
1,0,0,1,4672743.365,0.905,0,1
0,0,0,1,4672744.186,0.821,0,1
1,0,0,1,4672745.175,0.989,0,1
0,0,0,1,4672745.922,0.747,0,1
1,0,0,1,4672746.929,1.007,0,1
0,0,0,1,4672747.708,0.779,0,1
1,0,0,1,4672748.614,0.906,0,1
0,0,0,1,4672749.471,0.857,0,1
1,0,0,1,4672750.355,0.884,0,1
0,0,0,1,4672751.219,0.864,0,1
1,0,0,1,4672752.121,0.902,0,1
0,0,0,1,4672752.984,0.863,0,1
1,0,0,1,4672753.871,0.887,0,1
0,0,0,1,4672754.746,0.875,0,1
1,0,0,1,4672755.636,0.89,0,1
0,0,0,1,4672756.51,0.874,0,1
1,0,0,1,4672757.416,0.906,0,1
0,0,0,1,4672758.288,0.872,0,1
1,0,0,1,4672759.193,0.905,0,1
0,0,0,1,4672760.065,0.872,0,1
1,0,0,1,4672760.974,0.909,0,1
0,0,0,1,4672761.854,0.88,0,1
1,0,0,1,4672762.774,0.92,0,1
0,0,0,1,4672763.661,0.887,0,1
1,0,0,1,4672764.585,0.924,0,1
0,0,0,1,4672765.47,0.885,0,1
1,0,0,1,4672766.41,0.94,0,1
0,0,0,1,4672767.294,0.884,0,1
1,0,0,1,4672768.241,0.947,0,1
0,0,0,1,4672769.129,0.888,0,1
1,0,0,1,4672770.075,0.946,0,1
0,0,0,1,4672770.981,0.906,0,1
1,0,0,1,4672771.936,0.955,0,1
0,0,0,1,4672772.845,0.909,0,1
1,0,0,1,4672773.801,0.956,0,1
0,0,0,1,4672774.72,0.919,0,1
