#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 16
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,1,0,0,4297096.71,4297096.71,0,0
0,0,0,0,4297096.71,0.0,0,0
0,1,0,0,4297096.794,0.084,0,0
0,0,0,0,4297096.794,0.0,0,0
0,1,0,0,4297096.846,0.052,0,0
0,0,0,0,4297096.846,0.0,0,0
0,1,0,0,4297096.95,0.104,0,0
0,0,0,0,4297096.95,0.0,0,0
0,1,0,0,4297097.002,0.052,0,0
0,0,0,0,4297097.002,0.0,0,0
0,1,0,0,4297097.054,0.052,0,0
0,0,0,0,4297097.054,0.0,0,0
0,1,0,0,4297136.92,39.866,0,0
0,0,0,0,4297136.92,0.0,0,0
0,1,0,0,4297137.004,0.084,0,0
0,0,0,0,4297137.004,0.0,0,0
0,1,0,0,4297137.056,0.052,0,0
0,0,0,0,4297137.056,0.0,0,0
0,1,0,0,4297137.108,0.052,0,0
0,0,0,0,4297137.108,0.0,0,0
0,1,0,0,4297137.16,0.052,0,0
0,0,0,0,4297137.16,0.0,0,0
0,1,0,0,4297137.212,0.052,0,0
0,0,0,0,4297137.212,0.0,0,0
0,1,0,0,4297137.264,0.052,0,0
0,0,0,0,4297137.264,0.0,0,0
0,1,0,0,4297137.316,0.052,0,0
0,0,0,0,4297137.316,0.0,0,0
0,1,0,0,4297137.368,0.052,0,0
0,0,0,0,4297137.368,0.0,0,0
0,1,0,0,4297137.42,0.052,0,0
0,0,0,0,4297137.42,0.0,0,0
0,1,0,0,4297137.472,0.052,0,0
0,0,0,0,4297137.472,0.0,0,0
0,1,0,0,4297137.524,0.052,0,0
0,0,0,0,4297137.524,0.0,0,0
0,1,0,0,4297137.576,0.052,0,0
0,0,0,0,4297137.576,0.0,0,0
0,1,0,0,4297137.628,0.052,0,0
0,0,0,0,4297137.628,0.0,0,0
0,1,0,0,4297137.68,0.052,0,0
0,0,0,0,4297137.68,0.0,0,0
0,1,0,0,4297137.732,0.052,0,0
0,0,0,0,4297137.732,0.0,0,0
1,0,0,0,4312475.742,15338.01,0,0
1,0,0,0,4312515.953,40.211,0,0
1,0,0,0,4312534.282,18.329,0,0
1,0,0,0,4312534.334,0.052,0,0
1,0,0,0,4312534.386,0.052,0,0
1,0,0,0,4312534.438,0.052,0,0
1,0,0,0,4312534.49,0.052,0,0
1,0,0,0,4312534.542,0.052,0,0
1,0,0,0,4312534.594,0.052,0,0
1,0,0,0,4312534.646,0.052,0,0
1,0,0,0,4312534.698,0.052,0,0
1,0,0,0,4312534.7,0.002,0,0
1,0,0,0,4312537.542,2.842,0,0
1,0,0,0,4312555.819,18.277,0,0
1,0,0,0,4312574.097,18.278,0,0
1,0,0,0,4312574.181,0.084,0,0
1,0,0,0,4312574.233,0.052,0,0
1,0,0,0,4312574.337,0.104,0,0
1,0,0,0,4312574.441,0.104,0,0
1,0,0,0,4312574.493,0.052,0,0
1,0,0,0,4312574.545,0.052,0,0
1,0,0,0,4312574.597,0.052,0,0
1,0,0,0,4312574.649,0.052,0,0
1,0,0,0,4312574.753,0.104,0,0
1,0,0,0,4312574.805,0.052,0,0
1,0,0,0,4312574.857,0.052,0,0
1,0,0,0,4312574.909,0.052,0,0
1,0,0,0,4312577.752,2.843,0,0
1,0,0,0,4312577.94,0.188,0,0
1,0,0,0,4312593.082,15.142,0,0
1,0,0,0,4312593.134,0.052,0,0
1,0,0,0,4312593.186,0.052,0,0
0,0,0,0,4312596.03,2.844,0,0
1,0,0,0,4312596.064,0.034,0,0
0,0,0,0,4312596.114,0.05,0,0
1,0,0,0,4312596.116,0.002,0,0
1,0,0,0,4312596.166,0.05,0,0
1,0,0,0,4312596.166,0.0,0,0
1,0,0,0,4312596.218,0.052,0,0
0,0,0,0,4312596.27,0.052,0,0
1,0,0,0,4312596.272,0.002,0,0
0,0,0,0,4312596.322,0.05,0,0
1,0,0,0,4312596.324,0.002,0,0
1,0,0,0,4312596.374,0.05,0,0
1,0,0,0,4312596.426,0.052,0,0
1,0,0,0,4312596.478,0.052,0,0
0,0,0,0,4312596.53,0.052,0,0
1,0,0,0,4312596.532,0.002,0,0
1,0,0,0,4312596.582,0.05,0,0
1,0,0,0,4312596.634,0.052,0,0
1,0,0,0,4312596.686,0.052,0,0
1,0,0,0,4312596.738,0.052,0,0
1,0,0,0,4312596.79,0.052,0,0
1,0,0,0,4312596.842,0.052,0,0
1,0,0,0,4312614.307,17.465,0,0
1,0,0,0,4312614.391,0.084,0,0
1,0,0,0,4312614.443,0.052,0,0
1,0,0,0,4312614.495,0.052,0,0
1,0,0,0,4312614.547,0.052,0,0
1,0,0,0,4312614.599,0.052,0,0
0,0,0,0,4312614.651,0.052,0,0
1,0,0,0,4312614.653,0.002,0,0
1,0,0,0,4312614.703,0.05,0,0
1,0,0,0,4312614.755,0.052,0,0
0,0,0,0,4312614.807,0.052,0,0
1,0,0,0,4312614.809,0.002,0,0
1,0,0,0,4312614.859,0.05,0,0
1,0,0,0,4312614.911,0.052,0,0
1,0,0,0,4312614.963,0.052,0,0
1,0,0,0,4312615.015,0.052,0,0
1,0,0,0,4312615.017,0.002,0,0
1,0,0,0,4312615.067,0.05,0,0
1,0,0,0,4312615.119,0.052,0,0
1,0,0,0,4312615.121,0.002,0,0
1,0,0,0,4312633.241,18.12,0,0
0,0,0,0,4312636.24,2.999,0,0
1,0,0,0,4312636.274,0.034,0,0
0,0,0,0,4312636.324,0.05,0,0
1,0,0,0,4312636.326,0.002,0,0
0,0,0,0,4312636.376,0.05,0,0
1,0,0,0,4312636.378,0.002,0,0
0,0,0,0,4312636.428,0.05,0,0
1,0,0,0,4312636.43,0.002,0,0
0,0,0,0,4312636.48,0.05,0,0
1,0,0,0,4312636.482,0.002,0,0
1,0,0,0,4312636.532,0.05,0,0
0,0,0,0,4312636.584,0.052,0,0
1,0,0,0,4312636.586,0.002,0,0
0,0,0,0,4312636.636,0.05,0,0
1,0,0,0,4312636.638,0.002,0,0
1,0,0,0,4312636.688,0.05,0,0
1,0,0,0,4312636.69,0.002,0,0
1,0,0,0,4312636.74,0.05,0,0
1,0,0,0,4312636.792,0.052,0,0
1,0,0,0,4312636.844,0.052,0,0
0,0,0,0,4312636.896,0.052,0,0
1,0,0,0,4312636.898,0.002,0,0
1,0,0,0,4312636.948,0.05,0,0
1,0,0,0,4312637.0,0.052,0,0
1,0,0,0,4312637.052,0.052,0,0
0,0,0,0,4312654.518,17.466,0,0
1,0,0,0,4312654.552,0.034,0,0
0,0,0,0,4312654.602,0.05,0,0
1,0,0,0,4312654.604,0.002,0,0
0,0,0,0,4312654.654,0.05,0,0
1,0,0,0,4312654.656,0.002,0,0
0,0,0,0,4312654.706,0.05,0,0
1,0,0,0,4312654.708,0.002,0,0
0,0,0,0,4312654.758,0.05,0,0
1,0,0,0,4312654.76,0.002,0,0
0,0,0,0,4312654.81,0.05,0,0
1,0,0,0,4312654.812,0.002,0,0
0,0,0,0,4312654.862,0.05,0,0
1,0,0,0,4312654.864,0.002,0,0
0,0,0,0,4312654.914,0.05,0,0
1,0,0,0,4312654.916,0.002,0,0
0,0,0,0,4312654.966,0.05,0,0
1,0,0,0,4312654.968,0.002,0,0
1,0,0,0,4312655.018,0.05,0,0
1,0,0,0,4312655.02,0.002,0,0
0,0,0,0,4312655.07,0.05,0,0
1,0,0,0,4312655.072,0.002,0,0
1,0,0,0,4312655.122,0.05,0,0
1,0,0,0,4312655.124,0.002,0,0
0,0,0,0,4312655.174,0.05,0,0
1,0,0,0,4312655.176,0.002,0,0
0,0,0,0,4312655.226,0.05,0,0
1,0,0,0,4312655.228,0.002,0,0
0,0,0,0,4312655.278,0.05,0,0
1,0,0,0,4312655.28,0.002,0,0
0,0,0,0,4312655.33,0.05,0,0
1,0,0,0,4312655.332,0.002,0,0
1,0,0,0,4312673.14,17.808,0,0
1,0,0,0,4312673.191,0.051,0,0
1,0,0,0,4312673.243,0.052,0,0
1,0,0,0,4312673.295,0.052,0,0
1,0,0,0,4312673.347,0.052,0,0
1,0,0,0,4312673.399,0.052,0,0
1,0,0,0,4312673.451,0.052,0,0
1,0,0,0,4312673.503,0.052,0,0
1,0,0,0,4312673.555,0.052,0,0
1,0,0,0,4312673.607,0.052,0,0
0,0,0,0,4312676.451,2.844,0,0
1,0,0,0,4312676.485,0.034,0,0
1,0,0,0,4312676.535,0.05,0,0
