#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 295
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,8885181.201,8885181.201,0,0
0,0,0,1,8885181.896,0.695,0,0
1,0,0,1,8885182.634,0.738,0,0
0,0,0,1,8885183.325,0.691,0,0
1,0,0,1,8885184.064,0.739,0,0
0,0,0,1,8885184.758,0.694,0,0
1,0,0,1,8885185.501,0.743,0,0
0,0,0,1,8885186.19,0.689,0,0
1,0,0,1,8885186.931,0.741,0,0
0,0,0,1,8885187.621,0.69,0,0
1,0,0,1,8885188.361,0.74,0,0
0,0,0,1,8885189.051,0.69,0,0
1,0,0,1,8885189.794,0.743,0,0
0,0,0,1,8885190.486,0.692,0,0
1,0,0,1,8885191.23,0.744,0,0
0,0,0,1,8885191.925,0.695,0,0
1,0,0,1,8885192.668,0.743,0,0
0,0,0,1,8885193.364,0.696,0,0
1,0,0,1,8885194.11,0.746,0,0
0,0,0,1,8885194.803,0.693,0,0
1,0,0,1,8885195.55,0.747,0,0
0,0,0,1,8885196.244,0.694,0,0
1,0,0,1,8885196.993,0.749,0,0
0,0,0,1,8885197.689,0.696,0,0
1,0,0,1,8885198.442,0.753,0,0
0,0,0,1,8885199.137,0.695,0,0
1,0,0,1,8885199.889,0.752,0,0
0,0,0,1,8885200.586,0.697,0,0
1,0,0,1,8885201.342,0.756,0,0
0,0,0,1,8885202.048,0.706,0,0
1,0,0,1,8885202.805,0.757,0,0
0,0,0,1,8885203.509,0.704,1,0
1,0,0,1,8885204.27,0.761,1,0
0,0,0,1,8885204.977,0.707,1,1
1,0,0,1,8885205.74,0.763,1,1
0,0,0,1,8885206.446,0.706,1,1
1,0,0,1,8885207.212,0.766,0,0
0,0,0,1,8885207.919,0.707,0,0
1,0,0,1,8885208.678,0.759,0,0
0,0,0,1,8885209.386,0.708,0,0
1,0,0,1,8885210.146,0.76,0,0
0,0,0,1,8885210.849,0.703,0,0
1,0,0,1,8885211.614,0.765,0,0
0,0,0,1,8885214.784,3.17,0,0
1,0,0,1,8885216.002,1.218,0,0
0,0,0,1,8885216.705,0.703,0,0
1,0,0,1,8885217.468,0.763,0,0
0,0,0,1,8885218.167,0.699,0,0
1,0,0,1,8885218.923,0.756,0,0
0,0,0,1,8885219.626,0.703,0,0
1,0,0,1,8885220.382,0.756,0,0
0,0,0,1,8885221.085,0.703,0,0
1,0,0,1,8885221.844,0.759,0,0
0,0,0,1,8885222.544,0.7,0,0
1,0,0,1,8885223.3,0.756,0,0
0,0,0,1,8885224.0,0.7,0,0
1,0,0,1,8885224.753,0.753,0,0
0,0,0,1,8885225.45,0.697,0,0
1,0,0,1,8885226.204,0.754,0,0
0,0,0,1,8885226.903,0.699,0,0
1,0,0,1,8885227.659,0.756,0,0
0,0,0,1,8885228.355,0.696,0,0
1,0,0,1,8885229.11,0.755,0,0
0,0,0,1,8885229.811,0.701,0,0
1,0,0,1,8885230.566,0.755,0,0
0,0,0,1,8885231.271,0.705,0,0
1,0,0,1,8885232.026,0.755,0,0
0,0,0,1,8885232.733,0.707,1,0
1,0,0,1,8885233.49,0.757,1,0
0,0,0,1,8885234.198,0.708,1,1
1,0,0,1,8885234.958,0.76,1,1
0,0,0,1,8885235.667,0.709,1,1
1,0,0,1,8885236.427,0.76,0,1
0,0,0,1,8885237.139,0.712,0,0
1,0,0,1,8885237.899,0.76,0,0
0,0,0,1,8885238.605,0.706,0,0
1,0,0,1,8885239.368,0.763,0,0
0,0,0,1,8885240.074,0.706,0,0
1,0,0,1,8885240.832,0.758,0,0
0,0,0,1,8885241.54,0.708,0,0
1,0,0,1,8885242.3,0.76,0,0
0,0,0,1,8885243.004,0.704,0,0
1,0,0,1,8885243.76,0.756,0,0
0,0,0,1,8885244.466,0.706,0,0
1,0,0,1,8885245.224,0.758,0,0
0,0,0,1,8885245.929,0.705,0,0
1,0,0,1,8885246.683,0.754,0,0
0,0,0,1,8885247.387,0.704,0,0
1,0,0,1,8885248.143,0.756,0,0
0,0,0,1,8885248.844,0.701,0,0
1,0,0,1,8885249.598,0.754,0,0
0,0,0,1,8885250.299,0.701,0,0
1,0,0,1,8885251.054,0.755,0,0
0,0,0,1,8885251.756,0.702,0,0
1,0,0,1,8885252.505,0.749,0,0
0,0,0,1,8885253.204,0.699,0,0
1,0,0,1,8885253.953,0.749,0,0
0,0,0,1,8885254.654,0.701,0,0
1,0,0,1,8885255.404,0.75,0,0
0,0,0,1,8885256.102,0.698,0,0
1,0,0,1,8885256.852,0.75,0,0
0,0,0,1,8885257.552,0.7,0,0
1,0,0,1,8885258.299,0.747,0,0
0,0,0,1,8885259.001,0.702,0,0
1,0,0,1,8885259.749,0.748,0,0
0,0,0,1,8885260.452,0.703,0,0
1,0,0,1,8885261.208,0.756,0,0
0,0,0,1,8885261.911,0.703,1,0
1,0,0,1,8885262.663,0.752,1,1
0,0,0,1,8885263.37,0.707,1,1
1,0,0,1,8885264.124,0.754,1,1
0,0,0,1,8885264.833,0.709,1,1
1,0,0,1,8885265.589,0.756,0,1
0,0,0,1,8885266.296,0.707,0,0
1,0,0,1,8885267.052,0.756,0,0
0,0,0,1,8885267.758,0.706,0,0
1,0,0,1,8885268.513,0.755,0,0
0,0,0,1,8885269.22,0.707,0,0
1,0,0,1,8885269.974,0.754,0,0
0,0,0,1,8885270.675,0.701,0,0
1,0,0,1,8885271.425,0.75,0,0
0,0,0,1,8885272.131,0.706,0,0
1,0,0,1,8885272.883,0.752,0,0
0,0,0,1,8885273.587,0.704,0,0
1,0,0,1,8885274.341,0.754,0,0
1,1,0,1,8885274.419,0.078,0,0
1,0,0,1,8885274.419,0.0,0,0
0,0,0,1,8885275.043,0.624,0,0
1,0,0,1,8885275.79,0.747,0,0
0,0,0,1,8885276.493,0.703,0,0
1,0,0,1,8885277.243,0.75,0,0
0,0,0,1,8885277.945,0.702,0,0
1,0,0,1,8885278.701,0.756,0,0
0,0,0,1,8885279.404,0.703,0,0
1,0,0,1,8885280.16,0.756,0,0
0,0,0,1,8885280.858,0.698,0,0
1,0,0,1,8885281.612,0.754,0,0
0,0,0,1,8885282.312,0.7,0,0
1,0,0,1,8885283.065,0.753,0,0
