#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 280
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,4576451.388,4576451.388,0,0
0,0,0,1,4576452.072,0.684,0,0
1,0,0,1,4576452.807,0.735,0,0
0,0,0,1,4576453.491,0.684,0,0
1,0,0,1,4576454.227,0.736,0,0
0,0,0,1,4576454.914,0.687,1,0
1,0,0,1,4576455.65,0.736,1,0
0,0,0,1,4576456.338,0.688,1,1
1,0,0,1,4576457.076,0.738,1,1
0,0,0,1,4576457.765,0.689,1,1
1,0,0,1,4576458.502,0.737,0,1
0,0,0,1,4576459.194,0.692,0,0
1,0,0,1,4576459.928,0.734,0,0
0,0,0,1,4576460.622,0.694,0,0
1,0,0,1,4576461.358,0.736,0,0
0,0,0,1,4576462.047,0.689,0,0
1,0,0,1,4576462.783,0.736,0,0
0,0,0,1,4576463.468,0.685,0,0
1,0,0,1,4576464.201,0.733,0,0
0,0,0,1,4576464.889,0.688,0,0
1,0,0,1,4576465.625,0.736,0,0
0,0,0,1,4576466.31,0.685,0,0
1,0,0,1,4576467.044,0.734,0,0
0,0,0,1,4576467.73,0.686,0,0
1,0,0,1,4576468.461,0.731,0,0
0,0,0,1,4576469.147,0.686,0,0
1,0,0,1,4576469.88,0.733,0,0
0,0,0,1,4576470.566,0.686,0,0
1,0,0,1,4576471.303,0.737,0,0
0,0,0,1,4576471.986,0.683,0,0
1,0,0,1,4576472.726,0.74,0,0
0,0,0,1,4576473.407,0.681,0,0
1,0,0,1,4576474.143,0.736,0,0
0,0,0,1,4576474.825,0.682,0,0
1,0,0,1,4576475.562,0.737,0,0
0,0,0,1,4576476.244,0.682,0,0
1,0,0,1,4576476.98,0.736,0,0
0,0,0,1,4576477.665,0.685,0,0
1,0,0,1,4576478.401,0.736,0,0
0,0,0,1,4576479.086,0.685,0,0
1,0,0,1,4576479.824,0.738,0,0
0,0,0,1,4576480.506,0.682,0,0
1,0,0,1,4576481.249,0.743,0,0
0,0,0,1,4576481.937,0.688,0,0
1,0,0,1,4576482.678,0.741,0,0
0,0,0,1,4576483.37,0.692,1,0
1,0,0,1,4576484.113,0.743,1,1
0,0,0,1,4576484.805,0.692,1,1
1,0,0,1,4576485.553,0.748,1,1
0,0,0,1,4576486.243,0.69,1,1
1,0,0,1,4576486.995,0.752,0,1
0,0,0,1,4576487.682,0.687,0,0
1,0,0,1,4576488.428,0.746,0,0
0,0,0,1,4576489.119,0.691,0,0
1,0,0,1,4576489.864,0.745,0,0
0,0,0,1,4576490.554,0.69,0,0
1,0,0,1,4576491.3,0.746,0,0
0,0,0,1,4576494.418,3.118,0,0
1,0,0,1,4576495.605,1.187,0,0
0,0,0,1,4576496.29,0.685,0,0
1,0,0,1,4576497.036,0.746,0,0
0,0,0,1,4576497.721,0.685,0,0
1,0,0,1,4576498.463,0.742,0,0
0,0,0,1,4576499.154,0.691,0,0
1,0,0,1,4576499.896,0.742,0,0
0,0,0,1,4576500.589,0.693,0,0
1,0,0,1,4576501.333,0.744,0,0
0,0,0,1,4576502.022,0.689,0,0
1,0,0,1,4576502.765,0.743,0,0
0,0,0,1,4576503.452,0.687,0,0
1,0,0,1,4576504.195,0.743,0,0
0,0,0,1,4576504.884,0.689,0,0
1,0,0,1,4576505.622,0.738,0,0
0,0,0,1,4576506.313,0.691,0,0
1,0,0,1,4576507.057,0.744,0,0
0,0,0,1,4576507.742,0.685,0,0
1,0,0,1,4576508.486,0.744,0,0
0,0,0,1,4576509.174,0.688,0,0
1,0,0,1,4576509.919,0.745,0,0
0,0,0,1,4576510.609,0.69,0,0
1,0,0,1,4576511.354,0.745,0,0
0,0,0,1,4576512.047,0.693,0,0
1,0,0,1,4576512.793,0.746,1,1
0,0,0,1,4576513.488,0.695,1,1
1,0,0,1,4576514.237,0.749,1,1
0,0,0,1,4576514.933,0.696,1,1
1,0,0,1,4576515.684,0.751,0,1
0,0,0,1,4576516.378,0.694,0,0
1,0,0,1,4576517.126,0.748,0,0
0,0,0,1,4576517.822,0.696,0,0
1,0,0,1,4576518.572,0.75,0,0
0,0,0,1,4576519.268,0.696,0,0
1,0,0,1,4576520.012,0.744,0,0
0,0,0,1,4576520.708,0.696,0,0
1,0,0,1,4576521.452,0.744,0,0
0,0,0,1,4576522.146,0.694,0,0
1,0,0,1,4576522.891,0.745,0,0
0,0,0,1,4576523.58,0.689,0,0
1,0,0,1,4576524.322,0.742,0,0
0,0,0,1,4576525.013,0.691,0,0
1,0,0,1,4576525.757,0.744,0,0
0,0,0,1,4576526.442,0.685,0,0
1,0,0,1,4576527.18,0.738,0,0
0,0,0,1,4576527.867,0.687,0,0
1,0,0,1,4576528.608,0.741,0,0
0,0,0,1,4576529.288,0.68,0,0
1,0,0,1,4576530.024,0.736,0,0
0,0,0,1,4576530.706,0.682,0,0
1,0,0,1,4576531.437,0.731,0,0
0,0,0,1,4576532.12,0.683,0,0
1,0,0,1,4576532.853,0.733,0,0
0,0,0,1,4576533.532,0.679,0,0
1,0,0,1,4576534.268,0.736,0,0
0,0,0,1,4576534.946,0.678,0,0
1,0,0,1,4576535.678,0.732,0,0
0,0,0,1,4576536.363,0.685,0,0
1,0,0,1,4576537.09,0.727,0,0
0,0,0,1,4576537.774,0.684,0,0
1,0,0,1,4576538.509,0.735,0,0
0,0,0,1,4576539.193,0.684,0,0
1,0,0,1,4576539.928,0.735,0,0
0,0,0,1,4576540.615,0.687,0,0
1,0,0,1,4576541.354,0.739,1,1
0,0,0,1,4576542.04,0.686,1,1
1,0,0,1,4576542.779,0.739,1,1
0,0,0,1,4576543.469,0.69,1,1
1,0,0,1,4576544.208,0.739,0,1
0,0,0,1,4576544.897,0.689,0,0
1,0,0,1,4576545.632,0.735,0,0
0,0,0,1,4576546.327,0.695,0,0
1,0,0,1,4576547.062,0.735,0,0
0,0,0,1,4576547.752,0.69,0,0
1,0,0,1,4576548.488,0.736,0,0
0,0,0,1,4576549.174,0.686,0,0
1,0,0,1,4576549.906,0.732,0,0
0,0,0,1,4576550.593,0.687,0,0
1,0,0,1,4576551.33,0.737,0,0
0,0,0,1,4576552.014,0.684,0,0
1,0,0,1,4576552.752,0.738,0,0
1,1,0,1,4576552.903,0.151,0,0
1,0,0,1,4576552.903,0.0,0,0
0,0,0,1,4576553.436,0.533,0,0
1,0,0,1,4576554.168,0.732,0,0
0,0,0,1,4576554.855,0.687,0,0
1,0,0,1,4576555.589,0.734,0,0
0,0,0,1,4576556.273,0.684,0,0
1,0,0,1,4576557.01,0.737,0,0
0,0,0,1,4576557.698,0.688,0,0
1,0,0,1,4576558.436,0.738,0,0
0,0,0,1,4576559.122,0.686,0,0
1,0,0,1,4576559.86,0.738,0,0
0,0,0,1,4576560.544,0.684,0,0
1,0,0,1,4576561.279,0.735,0,0
0,0,0,1,4576561.967,0.688,0,0
1,0,0,1,4576562.703,0.736,0,0
0,0,0,1,4576563.391,0.688,0,0
1,0,0,1,4576564.131,0.74,0,0
0,0,0,1,4576564.816,0.685,0,0
1,0,0,1,4576565.557,0.741,0,0
0,0,0,1,4576566.24,0.683,0,0
1,0,0,1,4576566.983,0.743,0,0
0,0,0,1,4576567.676,0.693,0,0
1,0,0,1,4576568.42,0.744,0,0
0,0,0,1,4576569.11,0.69,0,0
1,0,0,1,4576569.854,0.744,1,1
0,0,0,1,4576570.547,0.693,1,1
1,0,0,1,4576571.295,0.748,1,1
0,0,0,1,4576571.987,0.692,1,1
1,0,0,1,4576572.736,0.749,0,1
1,0,1,1,4576572.876,0.14,0,1
1,0,0,1,4576572.878,0.002,0,1
0,0,0,1,4576573.429,0.551,0,0
1,0,0,1,4576574.173,0.744,0,0
0,0,0,1,4576574.865,0.692,0,0
1,0,0,1,4576575.611,0.746,0,0
0,0,0,1,4576576.3,0.689,0,0
1,0,0,1,4576577.049,0.749,0,0
0,0,0,1,4576580.193,3.144,0,0
1,0,0,1,4576581.356,1.163,0,0
0,0,0,1,4576582.047,0.691,0,0
1,0,0,1,4576582.793,0.746,0,0
0,0,0,1,4576583.484,0.691,0,0
1,0,0,1,4576584.23,0.746,0,0
0,0,0,1,4576584.921,0.691,0,0
1,0,0,1,4576585.668,0.747,0,0
0,0,0,1,4576586.36,0.692,0,0
1,0,0,1,4576587.108,0.748,0,0
0,0,0,1,4576587.801,0.693,0,0
1,0,0,1,4576588.546,0.745,0,0
0,0,0,1,4576589.238,0.692,0,0
1,0,0,1,4576589.982,0.744,0,0
0,0,0,1,4576590.677,0.695,0,0
1,0,0,1,4576591.422,0.745,0,0
0,0,0,1,4576592.116,0.694,0,0
1,0,0,1,4576592.867,0.751,0,0
0,0,0,1,4576593.554,0.687,0,0
1,0,0,1,4576594.304,0.75,0,0
0,0,0,1,4576595.001,0.697,0,0
1,0,0,1,4576595.753,0.752,0,0
0,0,0,1,4576596.45,0.697,0,0
1,0,0,1,4576597.202,0.752,0,0
0,0,0,1,4576597.901,0.699,0,0
1,0,0,1,4576598.656,0.755,1,1
0,0,0,1,4576599.357,0.701,1,1
1,0,0,1,4576600.112,0.755,1,1
0,0,0,1,4576600.816,0.704,1,1
1,0,0,1,4576601.571,0.755,0,1
0,0,0,1,4576602.277,0.706,0,0
1,0,0,1,4576603.032,0.755,0,0
0,0,0,1,4576603.735,0.703,0,0
1,0,0,1,4576604.491,0.756,0,0
0,0,0,1,4576605.192,0.701,0,0
1,0,0,1,4576605.942,0.75,0,0
0,0,0,1,4576606.645,0.703,0,0
1,0,0,1,4576607.394,0.749,0,0
0,0,0,1,4576608.095,0.701,0,0
1,0,0,1,4576608.847,0.752,0,0
