#Firmware: console20241002 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,317011.194,317011.194,0,0
1,0,0,1,317011.773,0.579,0,0
0,0,0,1,317014.175,2.402,0,0
1,0,0,1,317015.123,0.948,0,0
0,0,0,1,317015.661,0.538,0,0
1,0,0,1,317016.244,0.583,0,0
0,0,0,1,317016.779,0.535,0,0
1,0,0,1,317017.358,0.579,0,0
0,0,0,1,317017.894,0.536,0,0
1,0,0,1,317018.472,0.578,0,0
0,0,0,1,317019.01,0.538,0,0
1,0,0,1,317019.589,0.579,0,0
0,0,0,1,317020.126,0.537,0,0
1,0,0,1,317020.706,0.58,0,0
0,0,0,1,317021.239,0.533,0,0
1,0,0,1,317021.816,0.577,0,0
0,0,0,1,317022.353,0.537,0,0
1,0,0,1,317022.931,0.578,0,0
0,0,0,1,317023.465,0.534,0,0
1,0,0,1,317024.044,0.579,0,0
0,0,0,1,317024.579,0.535,0,0
1,0,0,1,317025.157,0.578,0,0
0,0,0,1,317025.693,0.536,0,0
1,0,0,1,317026.271,0.578,0,0
0,0,0,1,317026.809,0.538,1,0
1,0,0,1,317027.386,0.577,1,0
0,0,0,1,317027.926,0.54,1,0
1,0,0,1,317028.504,0.578,1,1
0,0,0,1,317029.046,0.542,1,1
1,0,0,1,317029.627,0.581,0,1
0,0,0,1,317030.166,0.539,0,1
1,0,0,1,317030.75,0.584,0,0
0,0,0,1,317031.288,0.538,0,0
1,0,0,1,317031.869,0.581,0,0
0,0,0,1,317032.41,0.541,0,0
1,0,0,1,317032.99,0.58,0,0
0,0,0,1,317033.531,0.541,0,0
1,0,0,1,317034.112,0.581,0,0
0,0,0,1,317034.651,0.539,0,0
1,0,0,1,317035.232,0.581,0,0
0,0,0,1,317035.772,0.54,0,0
1,0,0,1,317036.351,0.579,0,0
0,0,0,1,317036.888,0.537,0,0
1,0,0,1,317037.471,0.583,0,0
0,0,0,1,317038.006,0.535,0,0
1,0,0,1,317038.586,0.58,0,0
0,0,0,1,317039.121,0.535,0,0
1,0,0,1,317039.696,0.575,0,0
0,0,0,1,317040.232,0.536,0,0
1,0,0,1,317040.807,0.575,0,0
0,0,0,1,317041.342,0.535,0,0
1,0,0,1,317041.915,0.573,0,0
0,0,0,1,317042.45,0.535,0,0
1,0,0,1,317043.023,0.573,0,0
0,0,0,1,317043.557,0.534,0,0
1,0,0,1,317044.129,0.572,0,0
0,0,0,1,317044.665,0.536,0,0
1,0,0,1,317045.238,0.573,0,0
0,0,0,1,317045.775,0.537,0,0
1,0,0,1,317046.348,0.573,0,0
0,0,0,1,317046.884,0.536,0,0
1,0,0,1,317047.456,0.572,0,0
0,0,0,1,317047.993,0.537,0,0
1,0,0,1,317048.568,0.575,0,0
0,0,0,1,317049.105,0.537,1,0
1,0,0,1,317049.681,0.576,1,0
0,0,0,1,317050.219,0.538,1,0
1,0,0,1,317050.794,0.575,1,1
0,0,0,1,317051.331,0.537,1,1
1,0,0,1,317051.908,0.577,1,1
0,0,0,1,317052.448,0.54,0,1
1,0,0,1,317053.024,0.576,0,0
0,0,0,1,317053.565,0.541,0,0
1,0,0,1,317054.141,0.576,0,0
0,0,0,1,317054.679,0.538,0,0
1,0,0,1,317055.257,0.578,0,0
0,0,0,1,317055.794,0.537,0,0
1,0,0,1,317056.372,0.578,0,0
0,0,0,1,317056.906,0.534,0,0
1,0,0,1,317057.485,0.579,0,0
0,0,0,1,317058.021,0.536,0,0
1,0,0,1,317058.597,0.576,0,0
0,0,0,1,317059.136,0.539,0,0
1,0,0,1,317059.714,0.578,0,0
0,0,0,1,317060.249,0.535,0,0
1,0,0,1,317060.823,0.574,0,0
0,0,0,1,317061.358,0.535,0,0
1,0,0,1,317061.933,0.575,0,0
0,0,0,1,317062.47,0.537,0,0
1,0,0,1,317063.048,0.578,0,0
0,0,0,1,317063.582,0.534,0,0
1,0,0,1,317064.162,0.58,0,0
0,0,0,1,317064.692,0.53,0,0
1,0,0,1,317065.268,0.576,0,0
0,0,0,1,317065.801,0.533,0,0
1,0,0,1,317066.377,0.576,0,0
0,0,0,1,317066.908,0.531,0,0
1,0,0,1,317067.484,0.576,0,0
0,0,0,1,317068.016,0.532,0,0
1,0,0,1,317068.591,0.575,0,0
0,0,0,1,317069.124,0.533,0,0
1,0,0,1,317069.702,0.578,0,0
0,0,0,1,317070.231,0.529,0,0
