#Firmware: console20241002 firmware 20241003@978573457 mega100 MINIMAL_PINS 470
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,470321.558,470321.558,0,1
1,0,0,1,470322.333,0.775,0,1
0,0,0,1,470323.071,0.738,0,1
1,0,0,1,470323.866,0.795,0,1
0,0,0,1,470324.571,0.705,0,1
1,0,0,1,470325.359,0.788,0,1
0,0,0,1,470326.096,0.737,0,0
1,0,0,1,470326.867,0.771,0,0
0,0,0,1,470327.618,0.751,0,0
1,0,0,1,470328.388,0.77,0,0
0,0,0,1,470329.126,0.738,0,0
1,0,0,1,470329.909,0.783,0,0
0,0,0,1,470330.649,0.74,0,0
1,0,0,1,470331.423,0.774,0,0
0,0,0,1,470332.148,0.725,0,0
1,0,0,1,470332.932,0.784,0,0
0,0,0,1,470333.669,0.737,0,0
1,0,0,1,470334.446,0.777,0,0
0,0,0,1,470335.179,0.733,0,0
1,0,0,1,470335.955,0.776,0,0
0,0,0,1,470336.7,0.745,0,0
1,0,0,1,470337.475,0.775,0,0
0,0,0,1,470338.214,0.739,0,0
1,0,0,1,470339.002,0.788,0,0
0,0,0,1,470339.732,0.73,0,0
1,0,0,1,470340.532,0.8,0,0
0,0,0,1,470341.268,0.736,0,0
1,0,0,1,470342.058,0.79,0,0
0,0,0,1,470342.796,0.738,0,0
1,0,0,1,470343.592,0.796,0,0
0,0,0,1,470344.343,0.751,0,0
1,0,0,1,470345.132,0.789,0,0
0,0,0,1,470345.893,0.761,0,0
1,0,0,1,470346.686,0.793,0,0
0,0,0,1,470347.448,0.762,0,0
1,0,0,1,470348.245,0.797,0,0
0,0,0,1,470349.007,0.762,0,0
1,0,0,1,470349.82,0.813,0,0
0,0,0,1,470350.582,0.762,0,1
0,0,1,1,470351.032,0.45,1,1
0,0,0,1,470351.035,0.003,1,1
1,0,0,1,470351.404,0.369,1,1
0,0,0,1,470352.167,0.763,1,1
1,0,0,1,470352.985,0.818,1,1
0,0,0,1,470353.759,0.774,1,1
1,0,0,1,470354.592,0.833,1,1
0,0,0,1,470355.364,0.772,1,1
1,0,0,1,470356.19,0.826,0,1
0,0,0,1,470356.974,0.784,0,0
1,0,0,1,470357.795,0.821,0,0
0,0,0,1,470358.583,0.788,0,0
1,0,0,1,470359.414,0.831,0,0
0,0,0,1,470360.188,0.774,0,0
1,0,0,1,470361.005,0.817,0,0
0,0,0,1,470361.793,0.788,0,0
1,0,0,1,470362.611,0.818,0,0
0,0,0,1,470363.927,1.316,0,0
1,0,0,1,470367.434,3.507,0,0
0,0,0,1,470368.223,0.789,0,0
1,0,0,1,470369.057,0.834,0,0
0,0,0,1,470369.837,0.78,0,0
1,0,0,1,470370.667,0.83,0,0
0,0,0,1,470371.455,0.788,0,0
1,0,0,1,470372.289,0.834,0,0
0,0,0,1,470373.085,0.796,0,0
1,0,0,1,470373.937,0.852,0,0
0,0,0,1,470374.717,0.78,0,0
1,0,0,1,470375.568,0.851,0,0
0,0,0,1,470376.363,0.795,0,0
1,0,0,1,470377.21,0.847,0,0
0,0,0,1,470378.007,0.797,0,0
1,0,0,1,470378.874,0.867,0,0
0,0,0,1,470379.662,0.788,0,0
1,0,0,1,470380.521,0.859,0,0
0,0,0,1,470381.33,0.809,0,0
1,0,0,1,470382.198,0.868,0,0
0,0,0,1,470383.019,0.821,0,1
1,0,0,1,470383.897,0.878,1,1
0,0,0,1,470384.708,0.811,1,1
1,0,0,1,470385.589,0.881,1,1
0,0,0,1,470386.419,0.83,1,1
1,0,0,1,470387.303,0.884,1,1
0,0,0,1,470388.129,0.826,1,1
1,0,0,1,470389.038,0.909,0,1
0,0,0,1,470389.852,0.814,0,0
1,0,0,1,470390.745,0.893,0,0
0,0,0,1,470391.579,0.834,0,0
1,0,0,1,470392.481,0.902,0,0
0,0,0,1,470393.312,0.831,0,0
1,0,0,1,470394.208,0.896,0,0
0,0,0,1,470395.031,0.823,0,0
1,0,0,1,470395.914,0.883,0,0
0,0,0,1,470396.744,0.83,0,0
1,0,0,1,470397.654,0.91,0,0
0,0,0,1,470398.468,0.814,0,0
1,0,0,1,470399.372,0.904,0,0
0,0,0,1,470400.203,0.831,0,0
1,0,0,1,470401.079,0.876,0,0
0,0,0,1,470401.93,0.851,0,0
1,0,0,1,470402.808,0.878,0,0
0,0,0,1,470403.654,0.846,0,0
1,0,0,1,470404.55,0.896,0,0
0,0,0,1,470405.389,0.839,0,0
1,0,0,1,470406.291,0.902,0,0
0,0,0,1,470407.138,0.847,0,0
1,0,0,1,470408.036,0.898,0,0
0,0,0,1,470408.881,0.845,0,0
1,0,0,1,470409.795,0.914,0,0
0,0,0,1,470410.647,0.852,0,0
